Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Non-Fatal,Substantial,Airplane,Cessna,172R,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,"Bombardier, Inc.",Bd-100-1A10,2.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172Rg,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28-151,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Extra Flugzeugbau Gmbh,Ea 300/L,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Incident,Incident,NOT KNOWN,Airplane,Gulfstream American Corp,690C,2.0,Turbo Prop,NOT KNOWN,1.0,1.0,1.0,5.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,J-2,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172C,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Richard F. Sheldon,Aventura Ii,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Cessna,421,2.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Incident,Incident,NOT KNOWN,Airplane,Saab,340,2.0,Turbo Shaft,NOT KNOWN,1.0,1.0,1.0,1.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28R-180,1.0,Reciprocating,NOT KNOWN,1.0,1.0,1.0,2.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-22-150,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,99,2.0,Turbo Prop,Positioning,1.0,1.0,1.0,1.0,IMC
Accident,Fatal(5),Destroyed,Airplane,Cessna,421B,2.0,Reciprocating,Personal,5.0,1.0,1.0,1.0,IMC
Accident,Non-Fatal,Substantial,Airplane,"Morgan, Marvin R.",Zenair Ch701 Stol,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,T210M,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Boeing,737-3A4,2.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,208.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,T210L,1.0,Reciprocating,Positioning,1.0,1.0,1.0,1.0,VMC
Incident,Incident,NOT KNOWN,Airplane,Boeing,747-436,4.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,368.0,VMC
Accident,Non-Fatal,Minor,Airplane,Boeing,737-7H4,2.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,208.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Ercoupe (Eng & Research Corp.),415-C,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,Be-23,1.0,Reciprocating,Personal,1.0,1.0,2.0,2.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28-181,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28-180,1.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa 32R 301T,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-34-200T,2.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,American Champion (Acac),8Gcbc,1.0,Reciprocating,Business,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,R182,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Ryan Aeronautical,St3Kr,1.0,Reciprocating,Personal,1.0,1.0,2.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182G,1.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Incident,Incident,Minor,Airplane,Mcdonnell Douglas,Md11,3.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,253.0,NOT KNOWN
Accident,Non-Fatal,Destroyed,Airplane,Barron,Thorp T18,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Learjet,35A,2.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa 18-150,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Incident,Incident,Minor,Airplane,Mitsubishi,Mu-2B-36,2.0,Turbo Prop,NOT KNOWN,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Unknown,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Navion,G Model,1.0,Reciprocating,Personal,1.0,2.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Jim Garrison,N11,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Luscombe,8A,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Fatal(2),Substantial,Airplane,Partenavia,P 68C,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,120,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Douglas,C54G-Dc,4.0,Reciprocating,Other Work Use,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Foley James,Searey,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182E,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,"Quad City Ultralight, Llc",Challenger Special,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Incident,Incident,Minor,Airplane,Dassault,Falcon900,3.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,2.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,"Smith, Ted Aerostar",601P,2.0,Reciprocating,Business,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,J3C-65,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Minor,Airplane,Raytheon,B-1900,1.0,NOT KNOWN,NOT KNOWN,0.0,0.0,0.0,15.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Airborne Windsports Ltd,Classic,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Tanker,Dr-107 One Design,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172R,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-46-310P,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Aviat,A-1B,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cirrus Design,Sr-22,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-46-500Tp,1.0,Turbo Prop,Instructional,1.0,1.0,1.0,3.0,VMC
Accident,Non-Fatal,NOT KNOWN,Airplane,"Bombardier, Inc.",Dhc-8-103,2.0,Turbo Prop,Positioning,1.0,1.0,1.0,5.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Raytheon Aircraft Company,B200,2.0,Turbo Prop,Business,1.0,1.0,1.0,2.0,VMC
Accident,Fatal(2),Substantial,Airplane,Cessna,172K,1.0,Reciprocating,Personal,2.0,1.0,1.0,1.0,IMC
Accident,Fatal(3),Destroyed,Airplane,Socata,Tbm 700,1.0,Turbo Prop,Executive/corporate,3.0,1.0,1.0,1.0,IMC
Accident,Non-Fatal,Destroyed,Airplane,C.W Crane,T2,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-38-112,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,F35,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Fatal(3),Substantial,Airplane,Beech,200,2.0,Turbo Shaft,Unknown,3.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,C150,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,American Champion,7Gcbc,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Aero Commander,100,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Mooney Aircraft Corp.,M20K,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,IMC
Accident,Fatal(4),Substantial,Airplane,Beech,A36,1.0,Reciprocating,Personal,4.0,1.0,1.0,1.0,IMC
Accident,Fatal(1),Substantial,Airplane,Wampole,Mini-Max,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Fortuna,Sonex,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Incident,Incident,NOT KNOWN,Airplane,Airbus,A300,2.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,2.0,NOT KNOWN
Accident,Non-Fatal,NOT KNOWN,Airplane,Cessna,172,1.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Maule,Mxt-7-180A,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-12,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Burkhart-Grob,G109,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172B,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,1.0,1.0,1.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28-181,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Peay,Quckie Q-200,1.0,Reciprocating,Flight Test,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Flight Design Gmbh,Ctsw,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Luscombe,8A,1.0,Reciprocating,Personal,1.0,1.0,2.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,American Legend,Al-11,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,"Van'S Aircraft, Inc",Rv7A,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Maule,M-7-235B,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Flight Design,Ctsw,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-12,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-22-150,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Gulfstream-Schweizer,G-164B,1.0,Reciprocating,Aerial Application,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cirrus Design Corp.,Sr22,1.0,Reciprocating,Personal,1.0,1.0,3.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Waltz,Sonex Waiex,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182H,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Boeing,777-200B,1.0,NOT KNOWN,NOT KNOWN,1.0,1.0,1.0,205.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Mooney,M20F,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Ingraham,Rv-6,1.0,NOT KNOWN,Ferry,1.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Monocoupe,110,1.0,Reciprocating,Personal,1.0,1.0,2.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Hirsch,Thorp T-18,1.0,Reciprocating,Personal,1.0,1.0,2.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Mooney,M20D,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Ogden Aubrey D,Bd-4,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Taylorcraft,Bc12-D,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172R,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,T210M,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Mooney,M20J,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Fatal(3),Destroyed,Airplane,Piper,Pa-28-235,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,1.0,1.0,2.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172R,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Fatal(2),Substantial,Airplane,Beech,58,2.0,Reciprocating,Executive/corporate,2.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Instructional,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Mooney,M20R,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Polcyn,Long-Eze,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Columbia,Lc42-550Fg,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Instructional,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,C23,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172R,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cirrus Design Corp.,Sr-22,1.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Bellanca,17-30A,1.0,Reciprocating,Personal,1.0,1.0,1.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-38-112,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-24-400,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172K,1.0,Reciprocating,Personal,1.0,1.0,2.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182H,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Pietsch,It,1.0,Reciprocating,Air Race/show,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172E,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Air Tractor,At-502B,1.0,Turbo Prop,Aerial Application,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Caywood,Long-Ez,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,T210N,1.0,Reciprocating,Personal,1.0,1.0,1.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172E,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Aero Vodochody Aero. Works,L-39C,1.0,Turbo Jet,Air Race/show,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,1.0,1.0,2.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Maule,M-5 235C,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150A,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Bruce E. Hotz,Wind Wagon,1.0,Reciprocating,Flight Test,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Bellanca,7Eca,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Incident,Incident,NOT KNOWN,Airplane,Lockheed,L188C,1.0,Turbo Prop,NOT KNOWN,1.0,1.0,1.0,3.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Champion,7Eca,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172K,1.0,Reciprocating,Instructional,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-18,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Duffy/Wagner,Vans Rv-4,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28A-180C,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Harrison Robert J.,Longez,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Stinson,108,1.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,B24R,1.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-18-150,1.0,Reciprocating,Banner Tow,1.0,1.0,1.0,1.0,VMC
Accident,Fatal(3),Destroyed,Airplane,Piper,Pa-32R-301,1.0,Reciprocating,Personal,3.0,1.0,1.0,1.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Gates Learjet,36A,2.0,Turbo Fan,Public Aircraft,1.0,1.0,1.0,2.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172R,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,180D,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-22,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Edwards,Wag-A-Bond,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,T206H,1.0,Reciprocating,Personal,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Navion,A,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Aeroprakt,A-22,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,206G,2.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Carpenter,Lancair 320,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Ac Mfg & Dev'T Co,Ch 2000,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Boeing,E75N1,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Waco Classic Aircraft,Ymf-F5C,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,D50E,2.0,Reciprocating,Personal,1.0,1.0,1.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Barnett,Ma-5 Charger,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172L,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Canadair,Cl-600-2B19,2.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,4.0,VMC
Incident,Incident,NOT KNOWN,Airplane,Cirrus Design Corp.,Sr20,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,F-35,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,C-150H,1.0,Reciprocating,Instructional,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,C-150G,1.0,Reciprocating,Instructional,1.0,1.0,2.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,170A,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,180C,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,210N,1.0,Reciprocating,NOT KNOWN,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,U206G,1.0,Reciprocating,Public Aircraft,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Bombardier,Cl-600-2B19,2.0,Turbo Fan,NOT KNOWN,1.0,1.0,1.0,52.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28R-201,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Bellanca,7Gcbc,1.0,Reciprocating,Personal,1.0,1.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,320C,2.0,Reciprocating,Instructional,1.0,1.0,1.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-31-350,2.0,Reciprocating,Personal,1.0,1.0,1.0,3.0,VMC
