Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,P210N,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-34,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,305 (L-19),1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Piper,Pa-23-250,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,NOT KNOWN
Accident,Non-Fatal,Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Piper,23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Mooney,M20G,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,Tu206F,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Quickie,1,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,U206,1.0,Reciprocating,Unknown,0.0,0.0,3.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Piper,Pa-28-140,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC
Accident,Fatal(4),Destroyed,Airplane,Cessna,210N,1.0,Reciprocating,Personal,4.0,1.0,1.0,0.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,310L,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Incident,Incident,NOT KNOWN,Airplane,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,149.0,NOT KNOWN
Incident,Incident,Minor,Airplane,Embraer,Emb-110P1,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Cessna,414,2.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,NOT KNOWN
Accident,Non-Fatal,Substantial,Airplane,Beech,P35,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,IMC
Accident,Non-Fatal,Destroyed,Airplane,Grumman,Aa5B,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28R-201T,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,A23-24,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-31-350,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC
Accident,Fatal(3),Destroyed,Airplane,Cessna,T210N,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Swearingen,Sa 226-Tc,2.0,Turbo Prop,Unknown,0.0,1.0,2.0,12.0,VMC
